slateid,universityscale,gpa
"",Aligarh Muslim University,3.25
"",Anna University,4
"",Anna University,4
"",Anna University,3.5
"",Anna University,3.5
"",Anna University,2
"",Anna University,2
"",Anna University,2
"",Anna University,2
"",Anna University,2.33
"",Anna University,2.33
"",Aligarh Muslim University,4
"",CEPT University (2018 Policy),4
"",CEPT University (2018 Policy),4
"",CEPT University (2018 Policy),3.5
"",CEPT University (2018 Policy),3.5
"",CEPT University (2018 Policy),3.5
"",CEPT University (2018 Policy),3.5
"",CEPT University (2018 Policy),3.5
"",CEPT University (2018 Policy),3
